NOMBRE_CLIENTE,PRECIO_UNITARIO
PÚBLICO EN GENERAL,434.48
PÚBLICO EN GENERAL,172.41
PÚBLICO EN GENERAL,237.07
PÚBLICO EN GENERAL,605.0
PÚBLICO EN GENERAL,522.0
PÚBLICO EN GENERAL,999.91
PÚBLICO EN GENERAL,566.64
PÚBLICO EN GENERAL,473.28
PÚBLICO EN GENERAL,1659.6
PÚBLICO EN GENERAL,107.76
PÚBLICO EN GENERAL,2665.3
PÚBLICO EN GENERAL,1579.6
PÚBLICO EN GENERAL,1143.25
PÚBLICO EN GENERAL,813.1
PÚBLICO EN GENERAL,357.85
PÚBLICO EN GENERAL,336.93
PÚBLICO EN GENERAL,862.07
PÚBLICO EN GENERAL,525.0
PÚBLICO EN GENERAL,119.83
PÚBLICO EN GENERAL,683.25
PÚBLICO EN GENERAL,650.32
PÚBLICO EN GENERAL,512.36
PÚBLICO EN GENERAL,382.76
PÚBLICO EN GENERAL,800.0
PÚBLICO EN GENERAL,1910.0
PÚBLICO EN GENERAL,850.0
PÚBLICO EN GENERAL,636.21
PÚBLICO EN GENERAL,435.72
PÚBLICO EN GENERAL,1120.69
PÚBLICO EN GENERAL,110.0
PÚBLICO EN GENERAL,2497.0
PÚBLICO EN GENERAL,488.62
PÚBLICO EN GENERAL,225.0
PÚBLICO EN GENERAL,301.07
PÚBLICO EN GENERAL,2325.34
PÚBLICO EN GENERAL,617.2
PÚBLICO EN GENERAL,265.08
PÚBLICO EN GENERAL,1140.86
PÚBLICO EN GENERAL,999.91
PÚBLICO EN GENERAL,557.5
PÚBLICO EN GENERAL,192.0
PÚBLICO EN GENERAL,753.04
PÚBLICO EN GENERAL,702.59
PÚBLICO EN GENERAL,488.62
PÚBLICO EN GENERAL,1112.0
PÚBLICO EN GENERAL,310.0
PÚBLICO EN GENERAL,921.37
PÚBLICO EN GENERAL,518.97
PÚBLICO EN GENERAL,404.65
PÚBLICO EN GENERAL,648.5
PÚBLICO EN GENERAL,648.5
PÚBLICO EN GENERAL,693.35
PÚBLICO EN GENERAL,624.27
PÚBLICO EN GENERAL,660.0
PÚBLICO EN GENERAL,794.0
PÚBLICO EN GENERAL,941.0
PÚBLICO EN GENERAL,348.0
PÚBLICO EN GENERAL,785.0
PÚBLICO EN GENERAL,265.08
PÚBLICO EN GENERAL,462.0
PÚBLICO EN GENERAL,2621.15
PÚBLICO EN GENERAL,1443.3
PÚBLICO EN GENERAL,1033.0
PÚBLICO EN GENERAL,753.5
PÚBLICO EN GENERAL,497.89
PÚBLICO EN GENERAL,647.0
PÚBLICO EN GENERAL,647.0
PÚBLICO EN GENERAL,960.34
PÚBLICO EN GENERAL,772.0
PÚBLICO EN GENERAL,4972.3
PÚBLICO EN GENERAL,1385.0
PÚBLICO EN GENERAL,264.0
PÚBLICO EN GENERAL,132.06
PÚBLICO EN GENERAL,699.38
PÚBLICO EN GENERAL,699.52
PÚBLICO EN GENERAL,462.07
PÚBLICO EN GENERAL,378.26
PÚBLICO EN GENERAL,132.06
PÚBLICO EN GENERAL,155.0
PÚBLICO EN GENERAL,623.37
PÚBLICO EN GENERAL,120.0
PÚBLICO EN GENERAL,753.5
PÚBLICO EN GENERAL,486.0
PÚBLICO EN GENERAL,1086.48
PÚBLICO EN GENERAL,1318.7
PÚBLICO EN GENERAL,827.59
PÚBLICO EN GENERAL,1158.51
PÚBLICO EN GENERAL,1385.5
PÚBLICO EN GENERAL,315.0
PÚBLICO EN GENERAL,576.65
PÚBLICO EN GENERAL,689.63
PÚBLICO EN GENERAL,3416.0
PÚBLICO EN GENERAL,410.0
PÚBLICO EN GENERAL,732.0
OMAR RODRIGUEZ GOMEZ,140.0
